timestamp,station,lat,lon,magnitude,event
2021-05-26T13:02:19,METG,60.22,24.4,2.863,May 26 2021 — double burst
2021-05-26T13:02:20,METG,60.22,24.4,5.055,May 26 2021 — double burst
2021-05-26T13:34:54,METG,60.22,24.4,3.21,May 26 2021 — double burst
2021-05-26T13:34:55,METG,60.22,24.4,5.457,May 26 2021 — double burst
2021-05-26T13:02:19,MATE,40.65,16.7,3.63,May 26 2021 — double burst
2021-05-26T13:02:20,MATE,40.65,16.7,3.218,May 26 2021 — double burst
2021-05-26T13:34:54,MATE,40.65,16.7,3.525,May 26 2021 — double burst
2021-05-26T13:34:55,MATE,40.65,16.7,3.339,May 26 2021 — double burst
2021-05-26T13:02:20,ONSA,57.4,11.93,3.0,May 26 2021 — double burst
2021-05-26T13:34:54,ONSA,57.4,11.93,2.591,May 26 2021 — double burst
2021-05-26T13:34:55,ONSA,57.4,11.93,4.682,May 26 2021 — double burst
2021-05-26T10:10:51,BRST,48.38,-4.5,2.523,May 26 2021 — double burst
2021-05-26T10:10:52,BRST,48.38,-4.5,3.618,May 26 2021 — double burst
2021-05-26T10:17:01,BRST,48.38,-4.5,3.211,May 26 2021 — double burst
2021-05-26T10:17:02,BRST,48.38,-4.5,3.83,May 26 2021 — double burst
2021-05-26T10:17:03,BRST,48.38,-4.5,3.527,May 26 2021 — double burst
2021-05-26T12:05:53,BRST,48.38,-4.5,3.397,May 26 2021 — double burst
2021-05-26T12:05:54,BRST,48.38,-4.5,5.178,May 26 2021 — double burst
2021-05-26T12:05:55,BRST,48.38,-4.5,3.753,May 26 2021 — double burst
2021-05-26T13:02:19,WSRT,52.91,6.6,3.162,May 26 2021 — double burst
2021-05-26T13:02:20,WSRT,52.91,6.6,5.364,May 26 2021 — double burst
2021-05-26T13:34:55,WSRT,52.91,6.6,3.044,May 26 2021 — double burst
2021-05-26T13:02:20,BRUX,50.8,4.36,3.108,May 26 2021 — double burst
2021-05-26T13:34:55,BRUX,50.8,4.36,3.119,May 26 2021 — double burst
